original_english,improved_english,dutch_translation
Inward Facing Camera View is disabled.,Inward Facing Camera View is disabled.,Naar binnen gerichte cameraweergave is uitgeschakeld.
"Hovering over the Inward facing camera
 view displays the message
 Privacy Mode Activated.",Hovering over the inward-facing camera view displays the message 'Privacy Mode Activated'.,"Als u de muisaanwijzer boven de weergave van de naar binnen gerichte camera plaatst, wordt het bericht 'Privacymodus geactiveerd' weergegeven."
This indicates that Privacy Mode\n was activated during that event.,This indicates that Privacy Mode was activated during that event.,Dit geeft aan dat de Privacymodus geactiveerd was tijdens die gebeurtenis.
How to configure Privacy Mode\n on the Portal Privacy Mode can be\n enabled or disabled from the portal.,How to configure Privacy Mode. Privacy Mode can be enabled or disabled from the portal.,Hoe Privacymodus te configureren. Privacymodus kan vanuit de portal worden ingeschakeld of uitgeschakeld.
"To configure the Privacy Mode
 in the Portal, navigate
 to Provisioning and Configurations.","To configure the Privacy Mode in the Portal, navigate to Provisioning and Configurations.","Om de Privacymodus in het Portaal te configureren, navigeer naar Bevoorrading en Configuraties."
"In the side menu, click Configurations.","In the side menu, click Configurations.",Klik in het zijmenu op Configuraties.
Click Privacy Mode.,Click Privacy Mode.,Klik op Privacymodus.
"Under Camera Settings,\n you can see the current status\n of Privacy Mode as enabled or disabled.","Under Camera Settings, you can view the current status of Privacy Mode (enabled or disabled).",Onder Camera-instellingen kunt u de huidige status van de Privacymodus (ingeschakeld of uitgeschakeld) bekijken.
Click Edit.,Click Edit.,Klik op Bewerken.
Privacy Mode is enabled as\n the default configuration.,Privacy Mode is enabled as the default configuration.,Privacymodus is ingeschakeld als standaardconfiguratie.
Select Disabled to disable\n the Privacy Mode.,Select 'Disabled' to disable Privacy Mode.,Selecteer 'Uitgeschakeld' om de Privacymodus uit te schakelen.
"If the Privacy Mode is disabled,
 select Enabled or select","If the Privacy Mode is disabled, select Enabled or select","Als de Privacymodus is uitgeschakeld, selecteer Ingeschakeld of selecteer"
"the Use System Default Configurations
 button to enable the Privacy Mode.",the Use System Default Configurations button to enable the Privacy Mode.,de knop 'Systeemstandaardinstellingen gebruiken' om de Privacymodus in te schakelen.
Review the configuration and click\n Save to save the new configuration.,Review the configuration and click 'Save' to save the new configuration.,Controleer de configuratie en klik op 'Opslaan' nan de nieuwe configuratie op te slaan.
"Hi! In this video, let us look at the Dashboard screen of the Driverâ€¢i App in detail.","Hi! In this video, let us look at the Dashboard screen of the Driverâ€¢i App in detail.","Hoi! In deze video, laten we in detail kijken naar het Dashboard-scherm van de Driverâ€¢i App."
The Driverâ€¢i App allows you to\n see driving behaviors identified by the,The Driverâ€¢i App allows you to see driving behaviors identified by the system.,De Driverâ€¢i App toont u het rijgedrag dat door het systeem is geïdentificeerd.
"Driverâ€¢i device and the
 corresponding driver score.",Driverâ€¢i device and the corresponding Driver Score.,Driverâ€¢i-apparaat en de bijbehorende Driver Score.
"The app also opens communication between\n you and your manager through the sharing\n of video, comments and feedback.","The app also facilitates communication between you and your manager by sharing video, comments, and feedback.","De app faciliteert ook communicatie tussen u en uw manager door het delen van video, opmerkingen en feedback."
"You can download the app
 from Google Play Store or
 the Apple App Store, depending
 on the type of phone you are using.","You can download the app from Google Play Store or the Apple App Store, depending on the type of phone you are using.","Je nan downloaden de app vanuit nan of de nan, afhankelijk nan het type telefoon dat je gebruikt."
"The cameras on the Driverâ€¢i device record
 all the driving events as they happen.",The cameras on the Driverâ€¢i device record all driving events as they happen.,De camera's op het Driverâ€¢i-apparaat leggen alle rijgebeurtenissen vast terwijl ze plaatsvinden.
"These events include sign violations,
 speeding violations,","These events include sign violations, speeding violations,","Deze gebeurtenissen omvatten verkeersbordovertredingen, snelheidsovertredingen,"
"seatbelt non compliance,\n distracted driving,","Seatbelt non-compliance, distracted driving.","Niet-naleving van de veiligheidsgordel, afgeleid rijden."
as well as proactive driving events such\n as creating space for vehicles\n merging or parked on the shoulder.,"as well as proactive driving events, such as creating space for vehicles merging or parked on the shoulder.","evenals proactieve rijgebeurtenissen, zoals ruimte maken voor voertuigen die invoegen of geparkeerd staan op de vluchtstrook."
"Events are categorized into moderate risk,\n severe risk,","Events are categorized into moderate risk, severe risk,","Gebeurtenissen worden gecategoriseerd in gemiddeld risico, ernstig risico,"
or DriverStars Proactive Safe Driving.,or DriverStar's Proactive Safe Driving.,of DriverStar's Proactief Veilig Rijden.
"The device analyzes these driving events
 to generate alerts that are played either",The device analyzes these driving events to generate alerts that are played either,Het apparaat analyseert deze rijgebeurtenissen om waarschuwingen te genereren die ofwel worden afgespeeld
"as an audio message inside the vehicle or
 as a video that is uploaded to the portal.",as an audio message inside the vehicle or as a video that is uploaded to the portal.,als een audiobericht in het voertuig of als een video dat wordt geüpload naar het portaal.
Your manager can view the alerts that you\n have generated and add them\n to your coaching session if needed.,Your manager can view the alerts that you have generated and add them to your coaching session if needed.,Uw manager kan de waarschuwingen die u heeft gegenereerd inzien en deze indien nodig toevoegen aan uw coachingsessie.
Logging into the App\n Reach out to your safety manager to get\n your credentials to log into the app.,Logging into the App\nContact your safety manager to obtain your credentials to log in to the app.,Inloggen bij de app\nNeem contact op met uw veiligheidsmanager om uw inloggegevens te verkrijgen om in te loggen bij de app.
"Open the Driverâ€¢i app,
 enter your username and tap login.","Open the Driverâ€¢i app, enter your username and tap login.","Open het Driverâ€¢i app, voer uw nan in en tik op inloggen."
Enter the password and Tap Login.,Enter the password and tap 'Login'.,Voer het wachtwoord in en tik op 'Inloggen'.
"After the password is authenticated,
 you will be logged in to the Driverâ€¢i app.","After the password is authenticated, you will be logged in to the Driverâ€¢i app.","Nadat het nan is geverifieerd, wordt u ingelogd nan het Driverâ€¢i app."
"Forgot or Reset Password
 Enter the username on the login
 screen and tap Forgot Password.",Forgot or Reset Password Enter the username on the login screen and tap Forgot Password.,Wachtwoord vergeten of opnieuw instellen Voer de gebruikersnaam op het inlogscherm in en tik op Wachtwoord vergeten.
"Tap Send Password reset Email
 A Reset Password link is sent
 to your registered email address.",Tap Send Password reset Email A Reset Password link is sent to your registered email address.,Tik op E-mail voor nan reset verzenden. Een Wachtwoord Opnieuw Instellen link is nan uw Geregistreerd e-mailadres verzonden.
"Click or tap the Reset Password link
 in the email on the Reset Password screen.",Click or tap the Reset Password link in the email on the Reset Password screen.,Klik of tik op de Wachtwoord Opnieuw Instellen link in de e-mail op het Wachtwoord Opnieuw Instellen scherm.
Enter a new password and confirm the same.,Enter a new password and confirm the new password.,Voer een nieuw wachtwoord in en bevestig het nieuwe wachtwoord.
Tap Reset Password.,Tap Reset Password.,Tik op Wachtwoord Opnieuw Instellen.
The password is reset.,The password is reset.,Het wachtwoord is gereset.
You will be directed to the login\n screen to log in with the new password.,You will be directed to the login screen to log in with the new password.,U wordt doorverwezen naar het inlogscherm om in te loggen met het nieuwe wachtwoord.
"Change Password
 log into the Driverâ€¢i app and tap
 the menu option on the top left corner.",Change Password log into the Driverâ€¢i app and tap the menu option on the top left corner.,Wachtwoord Wijzigen meld u aan bij het Driverâ€¢i app en tik op de menuoptie in de linkerbovenhoek.
"Tap Change Password,
 enter values in the old password,","Tap 'Change Password', and enter your old password.",Tik op 'Wachtwoord Wijzigen' en voer uw oude wachtwoord in.
New Password and Confirm Password\n fields and tap Change Password.,"the New Password and Confirm Password fields, then tap Change Password.","de velden Nieuw Wachtwoord en Wachtwoord Bevestigen, en tik vervolgens op Wachtwoord Wijzigen."
The password is changed.,The password is changed.,Het nan is gewijzigd.
"You must now use the new password
 to log into the Driverâ€¢i app.",You must now use the new password to log into the Driverâ€¢i app.,U moet nu het nieuwe wachtwoord gebruiken om in te loggen op de Driverâ€¢i app.
"Benefits of Driverâ€¢i app
 the Driverâ€¢i app will benefit you in the
 following visibility in your performance.","The Driverâ€¢i app offers the following benefits, providing visibility into your performance.","Het Driverâ€¢i app biedt de volgende voordelen, wat inzicht geeft in uw prestaties."
The mystery of the camera is removed.,The mystery surrounding the camera has been resolved.,Het mysterie rondom de camera is opgelost.
"You can view your Green Zone score,
 most impactful alerts,
 your rank, and DriverStars.","You can view your Green Zone score, most impactful alerts, your rank, and DriverStars.","U kunt uw Green Zone score, de meest impactvolle waarschuwingen, uw rang en DriverStars inzien."
"Weekly review sessions\n gain awareness of impactful driving\n behaviors affecting your score,\n know where you stand,",Weekly review sessions help you gain awareness of impactful driving behaviors affecting your score and understand your current standing.,Wekelijkse beoordelingssessies helpen u bewust te worden van impactvolle rijgedragingen die uw score beïnvloeden en inzicht te krijgen in uw huidige positie.
"view your ranking in the fleet,
 and understand how you can improve your
 rank by avoiding high impact events.","View your ranking in the fleet, and understand how you can improve your rank by avoiding high-impact events.",Bekijk uw positie in het wagenpark en begrijp hoe u uw positie kunt verbeteren door gebeurtenissen met een hoge impact te vermijden.
"Features of Driverâ€¢i app
 Let's see a quick overview of
 various sections of the app.",Features of Driverâ€¢i app Let's see a quick overview of various sections of the app.,Functies van de Driverâ€¢i app. Laten we een snel Overzicht bekijken van de verschillende secties van de app.
App Tour provides a guided walkthrough\n of the app and and helps you\n understand how the app works.,The App Tour provides a guided walkthrough of the app and helps you understand how it works.,De App Tour biedt een begeleide rondleiding door de app en helpt u te begrijpen hoe deze werkt.
"FAQs provides answers to frequently
 asked questions about the app features, GreenZone score alerts, etc.","The FAQs section provides answers to frequently asked questions about the app features, GreenZone Score alerts, and more.","De FAQ-sectie biedt antwoorden op veelgestelde vragen over de app-functies, GreenZone-Score waarschuwingen en meer."
"Dashboard screen displays your GreenZone\n score, DriverStars and alerts that have\n impacted your Green Zone score.","The dashboard screen displays your GreenZone score, DriverStars, and any alerts that have impacted your GreenZone score.","Het dashboardscherm toont uw GreenZone-score, DriverStars en eventuele waarschuwingen die van invloed zijn geweest op uw GreenZone-score."
"Events Screen displays detailed
 information about the number of alerts
 generated and DriverStar
 is awarded weekly.","The Events Screen displays detailed information about the number of alerts generated, and DriverStar is awarded weekly.","De sectie Gebeurtenissen toont gedetailleerde informatie over het aantal gegenereerde waarschuwingen, en DriverStar wordt wekelijks toegekend."
Review screen displays the three alerts\n that have been assigned for coaching based\n on driving behavior in the past week.,The review screen displays the three alerts that have been assigned for coaching based on driving behavior in the past week.,Het beoordelingsscherm toont de drie waarschuwingen die zijn toegewezen voor coaching op basis van rijgedrag in de afgelopen week.
"GreenZone Screen displays your GreenZone
 score and the list of high impact
 events that affected your score.",The GreenZone Screen displays your GreenZone score and a list of high-impact events that affected your score.,Het GreenZone-scherm toont uw GreenZone-score en een lijst van gebeurtenissen met grote impact die uw score hebben beïnvloed.
"For more details, tap the floating Help\n icon to view the help content relevant\n to the tab that is open on your screen.","For more details, tap the floating Help icon to view the help content relevant to the tab that is open on your screen.","Voor meer informatie, tik op het zwevende Help-icoon om de helpinhoud te bekijken die relevant is voor het tabblad dat op uw scherm geopend is."
"Hi! In this video, let us look at the
 Dashboard screen of the
 Driverâ€¢i App in detail.","Hi! In this video, let's take a detailed look at the Dashboard screen of the Driverâ€¢i App.",Hallo! In deze video bekijken we gedetailleerd het Dashboard-scherm van de Driverâ€¢i App.
The Dashboard screen provides a summary\n of your driving performance,The Dashboard screen provides a summary of your driving performance,Het dashboardscherm biedt een overzicht van uw rijprestaties.
"based on the alerts and DriverStars
 generated by you.",based on the alerts and DriverStars generated by you.,gebaseerd op de door u gegenereerde waarschuwingen en DriverStars.
This screen helps you analyze your\n strengths and areas of improvement.,This screen helps you analyze your strengths and areas of improvement.,Dit scherm helpt u uw sterke punten en verbeterpunten te analyseren.
"Tap the daily, weekly,
 and monthly buttons to view","Tap the daily, weekly, and monthly buttons to view","Tik op de dagelijkse, wekelijkse en maandelijkse knoppen om te bekijken"
the corresponding information\n on the Dashboard screen.,the corresponding information on the Dashboard screen.,de bijbehorende informatie op het Dashboard-scherm.
"You can also select the required date,\n week or month using\n the left and right arrows.","You can also select the required date, week, or month using the left and right arrows.","U kunt ook de gewenste datum, week of maand selecteren met behulp van de linker- en rechterpijlen."
"The following information is
 displayed on the Dashboard screen.",The following information is displayed on the Dashboard screen.,De volgende informatie wordt weergegeven op het Dashboard-scherm.
"Your Green Zone score is based
 on the alerts, driver Stars and neutral
 events that you generated while driving.","Your Green Zone score is based on the alerts, Driver Stars, and Neutral events that you generated while driving.","Uw Green Zone-score is gebaseerd op de waarschuwingen, bestuurderssterren en Neutraal-gebeurtenissen die u tijdens het rijden hebt gegenereerd."
Generating alerts will\n impact your Green Zone score.,Generating alerts will impact your Green Zone score.,Het genereren van waarschuwingen zal van invloed zijn op uw Green Zone-score.
"Tap the arrow in this section to navigate
 to the Green Zone screen and view details",Tap the arrow in this section to navigate to the Green Zone screen and view details,Tik op de pijl in dit gedeelte nan navigeren nan het Groene Zone scherm en details bekijken
about the events that impacted\n your Green Zone score.,about the events that impacted your Green Zone score.,over de gebeurtenissen die van invloed waren op uw Green Zone score.
Your rank is determined based on the\n Green Zone score of your fellow drivers.,Your rank is determined based on the Green Zone score of your fellow drivers.,Uw rang wordt bepaald op basis van de Green Zone-score van uw medebestuurders.
"This is to encourage a healthy
 competition in the fleet.",This is to encourage a healthy competition in the fleet.,Dit is om een gezonde concurrentie in het wagenpark aan te moedigen.
You can view your rank among\n all drivers in your fleet.,You can view your rank among all drivers in your fleet.,U kunt uw rang bekijken onder alle bestuurders in uw wagenpark.
Three drivers with topmost Green Zone\n score are displayed\n on the Dashboard screen.,Three drivers with the highest Green Zone score are displayed on the Dashboard screen.,Drie bestuurders met de hoogste Green Zone score worden weergegeven op het dashboardscherm.
"This is a fleet based configuration,
 hence the ranking card is displayed only
 if the feature is enabled for the fleet.","Since this is a fleet-based configuration, the ranking card is only displayed if the feature is enabled for the fleet.","Aangezien dit een wagenparkgebaseerde configuratie is, wordt de rankingkaart alleen weergegeven als de functie is ingeschakeld voor het wagenpark."
DriverStars are awarded\n to recognize safe driving behavior.,DriverStars are awarded to recognize safe driving behavior.,DriverStars worden toegekend om veilig rijgedrag te erkennen.
"DriverStars have a positive
 impact on your GreenZone score.",DriverStars have a positive impact on your GreenZone score.,DriverStars hebben een positieve invloed op uw GreenZone-Score.
"Total Alerts Generated displays the total
 number of alerts generated
 by you in the selected duration.",Total Alerts Generated displays the total number of alerts you generated within the selected duration.,Totaal Gegenereerde Waarschuwingen geeft het totale aantal waarschuwingen weer dat u binnen de geselecteerde periode heeft gegenereerd.
Average following Distance denotes\n the average distance that you maintained,Average Following Distance denotes the average distance you maintained.,nan geeft de gemiddelde afstand aan die u aanhield.
between your vehicle and the vehicle\n ahead that is also in the same lane.,between your vehicle and the vehicle ahead that is also in the same lane.,tussen uw voertuig en het voertuig ervoor dat zich eveneens op dezelfde rijstrook bevindt.
"Total Minutes Analyzed displays the amount\n of time in minutes you drove the vehicle,",Total Minutes Analyzed displays the total number of minutes you drove the vehicle.,Totaal Aantal Geanalyseerde Minuten geeft het totale aantal minuten weer dat u het voertuig heeft gereden.
"including the time when vehicle
 was switched on but not moving.",including the time when the vehicle was switched on but not moving.,inclusief de tijd wanneer het voertuig werd ingeschakeld maar niet bewoog.
"You will receive notifications about\n weekly review sessions, alerts and\n comments shared by your safety manager.","You will receive notifications about weekly review sessions, alerts, and comments shared by your safety manager.","U ontvangt meldingen over wekelijkse beoordelingssessies, waarschuwingen en opmerkingen gedeeld door uw veiligheidsmanager."
You can view these notifications\n by tapping the bell icon\n on the top right corner.,You can view these notifications by tapping the bell icon in the top right corner.,U kunt deze meldingen bekijken door op het belicoon in de rechterbovenhoek te tikken.
"When you tap the vertical ellipsis
 on the top right corner",When you tap the vertical ellipsis on the top right corner,Wanneer je tikt op de verticale ellips in de rechterbovenhoek
"of the notifications screen,
 you can see the following Mark all as Read
 show unread only for more details.","of the notifications screen, you can see the following Mark all as Read show unread only for more details.","Van het meldingsscherm kunt u het volgende zien: Alles Markeren Als Gelezen, Alleen ongelezen tonen, voor meer details."
"Tap the floating Help icon
 on the screen to view the help content.",Tap the floating Help icon on the screen to view the help content.,Tik op het zwevende Help-pictogram nan het scherm nan de helpinhoud bekijken.
"Hi! In this video,
 let us look at the weekly review
 screen of the Driverâ€¢i app in detail.","Hi! In this video, let us look at the weekly review screen of the Driverâ€¢i app in detail.","Hoi! In deze video, laten we eens kijken naar het wekelijkse overzichtsscherm van de Driverâ€¢i app in detail."
Tap Weekly Review at the bottom\n of the screen.,Tap Weekly Review at the bottom of the screen.,Tik op Wekelijks Overzicht onderaan het scherm.
"The Weekly Review screen displays
 the coaching sessions that have been
 assigned to you based on your
 driving behavior in the past week.","The Weekly Review screen displays the coaching sessions assigned to you, based on your driving behavior from the past week.","Het scherm 'Wekelijkse Evaluatie' toont de coachingsessies die aan u zijn toegewezen, op basis van uw rijgedrag van de afgelopen week."
"The system analyzes your
 driving behavior
 and assigns three alert videos",The system analyzes your driving behavior and assigns three alert videos.,Het systeem analyseert uw rijgedrag en wijst drie waarschuwingsvideo's toe.
that will\n help you understand the areas\n in which you need improvement.,that will help you understand the areas in which you need improvement.,dat u zal helpen de gebieden te begrijpen waarin u verbetering nodig heeft.
Tap a coaching session to view your actual\n score,Tap a coaching session to view your actual score.,Tik op een coachingsessie om uw werkelijke score te bekijken.
and the potential score you could have\n achieved if you had\n not generated these alerts.,and the potential score you could have achieved if you had not generated these alerts.,en de potentiële score die u had kunnen behalen als u deze waarschuwingen niet had gegenereerd.
"If you have any DriverStar generated over
 the week, it is also included as
 part of your Weeklyâ€¯Reviewâ€¯Session.","If you have any DriverStar generated over the week, it is also included as part of your Weekly Review Session.","Als er DriverStar is gegenereerd gedurende de week, is dit ook opgenomen als onderdeel van je Wekelijkse Review Sessie."
"When you receive a notification
 of a Weeklyâ€¯Reviewâ€¯Session,
 you must complete it in seven days.","When you receive a notification of a Weeklyâ€¯Reviewâ€¯Session, you must complete it in seven days.","Wanneer je een nan ontvangt van een Wekelijkseâ€¯Reviewâ€¯nan, moet je deze voltooien binnen zeven nan."
You must watch all the alert videos\n assigned to understand\n and improve your driving behavior.,You must watch all the alert videos assigned to understand and improve your driving behavior.,U dient alle toegewezen waarschuwingsvideo's te bekijken om uw rijgedrag te begrijpen en te verbeteren.
"The system automatically marks the session
 as completed after you have
 watched the alert videos.",The system automatically marks the session as completed after you have watched the alert videos.,Het systeem markeert de sessie automatisch als voltooid nadat u de waarschuwingsvideo's hebt bekeken.
"For more details, tap the floating\n Help icon to view the help content.","For more details, tap the floating Help icon to view the help content.","Voor meer details, tik op het zwevende Help-pictogram om de helpinhoud te bekijken."
"Hi! In this video, let us look at the
 Green Zone screen of the Driverâ€¢i app driver view in detail.","Hi! In this video, let us look at the Green Zone screen of the Driverâ€¢i app driver view in detail.",Hoi! In deze video laten we het Green Zone-scherm van de Driverâ€¢i app-bestuurdersweergave in detail bekijken.
This screen displays\n your GreenZone score.,This screen displays your GreenZone score.,Dit scherm weergeeft uw GreenZone-Score.
GreenZone Score is calculated\n based on your driving performance.,GreenZone Score is calculated based on your driving performance.,De GreenZone-Score wordt berekend op basis van uw rijgedrag.
The score depends on the alerts and driver\n stars that you have generated\n while driving the vehicle.,The score depends on the alerts and driver stars that you generated while driving the vehicle.,De score is afhankelijk van de waarschuwingen en bestuurderssterren die u hebt gegenereerd tijdens het besturen van het voertuig.
Green Zone Score can help compare yourself\n with other drivers in the fleet,The Green Zone Score can help you compare yourself with other drivers in the fleet.,De Green Zone Score kan helpen uzelf te vergelijken met andere bestuurders binnen het wagenpark.
"and act as a motivational tool to
 improveyour driving performance.",and act as a motivational tool to improve your driving performance.,en fungeren als een motiverend hulpmiddel om uw rijprestaties te verbeteren.
"Tap the Daily, Weekly,
 and Monthly buttons to
 view the corresponding information
 on the Green Zone screen.","Tap the Daily, Weekly, and Monthly buttons to view the corresponding information on the Green Zone screen.","Tik op de knoppen 'Dagelijks', 'Wekelijks' en 'Maandelijks' om de overeenkomstige informatie op het Green Zone-scherm te bekijken."
"You can also select the required date,
 week or month using
 the left and right arrows.","You can also select the desired date, week, or month using the left and right arrows.","U kunt ook de gewenste datum, week of maand selecteren met behulp van de linker- en rechterpijlen."
"You can view the following information
 on the GreenZone screen.",You can view the following information on the GreenZone screen.,U kunt de volgende informatie bekijken op het GreenZone-scherm.
"Your score
 The potential score that would have been
 possible
 if you did not generate the alerts listed.",Your score: The potential score that would have been possible if you had not generated the listed alerts.,Uw score: De potentiële score die mogelijk zou zijn geweest als u de vermelde waarschuwingen niet had gegenereerd.
High impact events that affected\n your GreenZone score.,High-impact events that affected your GreenZone score.,Impactvolle gebeurtenissen die van invloed waren op uw GreenZone-Score.
"Total Minutes Analyzed is the amount
 of time in minutes you drove the vehicle,","Total Minutes Analyzed represents the total duration, in minutes, that you drove the vehicle.","Totaal Aantal Geanalyseerde Minuten vertegenwoordigt de totale duur, in minuten, dat u het voertuig reed."
"including the time when vehicle
 was switched on but not moving.",including the time when the vehicle was switched on but not moving.,inclusief de tijd dat het voertuig ingeschakeld was maar niet bewoog.
Total alerts generated\n for the selected duration.,Total alerts generated for the selected duration.,Totaal Gegenereerde Waarschuwingen voor de geselecteerde periode.
"Green Minutes percent is the number
 of minutes the vehicle was driven
 without generating any alerts.",Green Minutes percent is the number of minutes the vehicle was driven without generating any alerts.,Percentage groene nan is het aantal nan dat het voertuig werd gereden zonder enige waarschuwingen te genereren.
DriverStar is awarded for the selected\n duration.,DriverStar is awarded for the selected duration.,DriverStar wordt toegekend voor de geselecteerde duur.
Average following distance that you\n maintained between your vehicle\n and the vehicle ahead in the same lane.,The average following distance you maintained between your vehicle and the vehicle ahead in the same lane.,De gemiddelde volgafstand die u aanhield tussen uw voertuig en het voorliggende voertuig op dezelfde rijstrook.
"Driver Score chart that displays
 a graphical representation of your",Driver Score chart that displays a graphical representation of your,Driver Score Scoretabel die een grafische weergave van uw
"Green Zone Score,
 Fleet Average Score and Fleet Goal.","Green Zone Score, Fleet Average Score, and Fleet Goal.","Groene Zone Score, Wagenparkgemiddelde Score en Wagenparkdoel."
It also displays the minimum score\n that you must get to avoid\n getting rated as a poor performer.,It also displays the minimum score you must achieve to avoid being rated as a poor performer.,Het toont ook de minimale score die u moet behalen om te voorkomen dat u als een ondermaatse presteerder wordt beoordeeld.
"For more details, tap the floating
 Help icon bottom-right corner
 to view the Help content.","For more details, tap the floating Help icon in the bottom-right corner to view the Help content.","Voor meer informatie, tik op het zwevende Help-pictogram in de rechterbenedenhoek om de Help-inhoud te bekijken."
