source (en_US),translation (nl)
"<strong>GNSS</strong>: GPS/GLONASS/BeiDou/Galileo","<strong>GNSS</strong>: GPS/GLONASS/BeiDou/Galileo"
"<strong>Sensors</strong>: 3-Axis Accelerometer, Gyroscope","<strong>Sensoren</strong>: 3-assige versnellingsmeter, gyroscoop"
"<strong>Audio</strong>: Integrated Microphone & Speaker","<strong>Audio</strong>: Geïntegreerde microfoon en luidspreker"
"<strong>IP Rating</strong>: IP69K (High-pressure wash resistant)","<strong>IP-classificatie</strong>: IP69K (Bestand tegen hogedrukreiniging)"
"<strong>Operating Temperature</strong>: -40Â°C to +85Â°C","<strong>Bedrijfstemperatuur</strong>: -40Â°C tot +85Â°C"
"<strong>Dimensions</strong>: 120 x 80 x 35 mm","<strong>Afmetingen</strong>: 120 x 80 x 35 mm"
"<strong>Weight</strong>: 250 g","<strong>Gewicht</strong>: 250 g"
"<strong>Certifications</strong>: CE, FCC, E-Mark","<strong>Certificeringen</strong>: CE, FCC, E-Mark"
"<strong>DMS LED Behavior</strong>: Indicates system status.","<strong>DMS LED-gedrag</strong>: Geeft de systeemstatus aan."
"<strong>Solid Green</strong>: System Ready","<strong>Continu Groen</strong>: Systeem Gereed"
"<strong>Flashing Blue</strong>: Pairing Mode","<strong>Knipperend Blauw</strong>: Koppelmodus"
"<strong>Solid Red</strong>: System Error","<strong>Continu Rood</strong>: Systeemfout"
"<strong>Flashing Yellow</strong>: Update in Progress","<strong>Knipperend Geel</strong>: Update Bezig"
"<strong>Off</strong>: No Power / Sleep Mode","<strong>Uit</strong>: Geen Stroom / Slaapstand"
"<strong>Troubleshooting</strong>: Steps to resolve common issues.","<strong>Probleemoplossing</strong>: Stappen om veelvoorkomende problemen op te lossen."
"<strong>Device not powering on</strong>: Check connections and fuse.","<strong>Apparaat gaat niet aan</strong>: Controleer de aansluitingen en de zekering."
"<strong>No GPS signal</strong>: Ensure clear view of the sky.","<strong>Geen GPS-signaal</strong>: Zorg voor vrij zicht op de lucht."
"<strong>Wi-Fi connectivity issues</strong>: Verify credentials and signal strength.","<strong>Wi-Fi-verbindingsproblemen</strong>: Controleer inloggegevens en signaalsterkte."
"<strong>Paired and Calibrated</strong>: The device is successfully linked to the vehicle and sensors are adjusted.","<strong>Gekoppeld en Gekalibreerd</strong>: Het apparaat is succesvol gekoppeld aan het voertuig en de sensoren zijn afgesteld."
